AC2C3C    !
3C3H2H    beeswax
3C3H4H    beet
3C3H5H    beetle
3C3H6H    beets
3C3HAS    befall
3C3H2S    befit
3C3H3S    befog
3C3H4S    beg
3C3H5S    began
3C3H6S    beget
3C4HAC    beggar
3C4H2C    begin
3C4H4C    begs
3C4H5C    begun
3C4H6C    behind
3C4HAD    beige
3C4H2D    being
3C4H3D    beings
3C4H4D    beirut
3C4H5D    belch
3C4H6D    belches
3C4HAH    belfry
3C4H2H    belief
3C4H3H    bell
3C4H5H    bella
3C4H6H    belle
3C4HAS    bellies
3C4H2S    bellow
3C4H3S    bells
3C4H4S    belly
3C4H5S    beloved
3C4H6S    below
3C5HAC    belt
3C5H2C    belts
3C5H4C    bemoan
3C5H5C    bemused
3C5H6C    ben
3C5HAD    bench
3C5H2D    benches
3C5H3D    bend
3C5H4D    bender
3C5H5D    bends
3C5H6D    bendy
3C5HAH    benign
3C5H2H    benny
3C5H3H    bent
3C5H4H    benz
3C5H6H    beret
3C5HAS    berg
3C5H2S    berlin
3C5H3S    berm
3C5H4S    berms
3C5H5S    berra
3C5H6S    berries
3C6HAC    berry
3C6H2C    bert
3C6H4C    berth
3C6H5C    beryl
3C6H6C    beset
3C6HAD    bespoke
3C6H2D    bess
3C6H3D    best
3C6H4D    bet
3C6H5D    beta
